dolnośląskie;0;0;0;0;0;0;2318178;1993328;891246;1102060;425;10398;693;630;27;0;0;2;602;1102534;602;74;1102460;9324;1093136;1093136;8936;329350;9673;413593;35184;4651;240258;26588;17513;2345;5045
kujawsko-pomorskie;0;0;0;0;0;0;1641822;1419280;689650;729633;301;6018;344;332;12;0;2;0;318;729915;318;32;729883;5861;724022;724022;4378;215995;9846;284216;21741;3290;148273;21119;10731;1207;3226
lubelskie;0;0;0;0;0;0;1736871;1507050;663884;843192;443;6292;337;310;15;0;0;0;295;843400;295;41;843359;6668;836691;836691;8880;367389;20935;190065;26050;8808;177679;17663;14283;1241;3698
lubuskie;0;0;0;0;0;0;804549;692593;343718;348866;111;2515;181;168;8;0;0;1;159;348988;159;20;348968;3031;345937;345937;2341;92488;3908;143734;11972;1634;71831;10380;5571;590;1488
łódzkie;0;0;0;0;0;0;2021572;1751311;746464;1004888;378;4866;472;450;38;1;1;1;407;1005145;407;118;1005027;8431;996596;996596;7310;362914;15062;321409;30134;5218;206606;26827;14254;1954;4908
małopolskie;0;0;0;0;0;0;2650620;2274458;892164;1382304;612;15702;732;661;25;0;1;1;631;1382781;634;149;1382632;10777;1371855;1371855;12654;606824;15519;374793;50925;5841;257956;24788;14050;2573;5932
mazowieckie;0;0;0;0;0;0;4391167;3790925;1406679;2384222;895;26799;35490;28798;1231;10;25;17;27644;2411738;27654;530;2411208;21742;2389466;2389466;26825;860985;30001;783155;80260;13384;486707;49101;38792;7260;12996
opolskie;0;0;0;0;0;0;812176;703479;358102;345374;123;1834;180;175;3;0;0;0;171;345514;171;20;345494;2949;342545;342545;2429;88653;2891;129264;9623;1171;95494;7436;3878;429;1277
podkarpackie;0;0;0;0;0;0;1701228;1470878;628331;842558;442;5265;291;276;10;1;0;2;261;842746;263;33;842713;5488;837225;837225;8132;419352;11776;170962;27396;5900;167643;15402;6913;891;2858
podlaskie;0;0;0;0;0;0;952153;824545;378306;446239;230;2947;217;207;3;1;1;0;202;446401;202;26;446375;3528;442847;442847;4340;180155;6390;122837;16489;3029;90243;11816;5131;623;1794
pomorskie;0;0;0;0;0;0;1769478;1522792;636343;886427;298;9737;573;540;29;5;0;3;505;886786;504;66;886720;7957;878763;878763;6919;243691;7080;378940;28072;4302;170259;19575;13062;2189;4674
śląskie;0;0;0;0;0;0;3642797;3147853;1331721;1816120;583;9146;1108;1055;58;2;2;1;992;1816873;992;159;1816714;14634;1802080;1802080;12946;565779;13975;635262;58286;7218;425116;46462;25728;3324;7984
świętokrzyskie;0;0;0;0;0;0;1035303;894657;414985;479662;273;3299;132;124;7;0;0;0;117;479709;117;39;479670;3609;476061;476061;2987;181398;61908;106453;14688;2419;88525;10287;5141;559;1696
warmińsko-mazurskie;0;0;0;0;0;0;1142294;990439;510507;479931;195;4283;221;202;4;2;1;2;195;480084;195;18;480066;4260;475806;475806;3430;139859;5971;187425;16588;2606;98108;12456;6564;762;2037
wielkopolskie;0;0;0;0;0;0;2719808;2333073;1030109;1303086;404;9195;689;650;18;0;0;2;631;1303475;631;122;1303353;11491;1291862;1291862;8097;369448;17767;539699;38897;5504;247177;37293;19050;2825;6105
zachodniopomorskie;0;0;0;0;0;0;1348554;1161112;562001;599009;243;9790;1154;475;44;0;0;3;428;599285;428;41;599244;5202;594042;594042;3528;154812;6059;249253;19779;2655;127204;16690;10581;1013;2468
0;0;0;0;0;0;0;30688570;26477773;11484210;14993571;5956;128086;42814;35053;1532;22;33;35;33558;15025374;33572;1488;15023886;124952;14898934;14898934;124132;5179092;238761;5031060;486084;77630;3099079;353883;211242;29785;68186
